resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
hakuba-north,jma,小谷,48-1411,550.0,長野県,1983/84,0.0,58.0,178.0,301.0,387.0,204.0,54.0,3.0,1185,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1984/85,0,0.0,220.0,393.0,164.0,50.0,1.0,0,828,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1985/86,0,31.0,417.0,292.0,271.0,155.0,66.0,0,1232,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1986/87,0,15.0,141.0,369.0,228.0,124.0,10.0,0,887,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1987/88,0,12.0,170.0,233.0,314.0,133.0,12.0,0,874,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1988/89,23.0,97.0,220.0,177.0,183.0,128.0,0.0,0,828,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1989/90,0,18.0,122.0,361.0,106.0,103.0,7.0,0,717,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1990/91,0,0.0,110.0,376.0,333.0,127.0,29.0,0,975,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1991/92,0,9.0,194.0,270.0,312.0,154.0,19.0,0,958,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1992/93,0,43.0,195.0,182.0,291.0,234.0,69.0,0,1014,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1993/94,0,1.0,42.0,312.0,260.0,132.0,33.0,0,780,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1994/95,0,0.0,182.0,383.0,199.0,81.0,11.0,0,856,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1995/96,0,8.0,187.0,312.0,244.0,158.0,59.0,0,968,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1996/97,0,1.0,75.0,355.0,186.0,54.0,0.0,0,671,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1997/98,0,15.0,95.0,347.0,162.0,136.0,19.0,0,774,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1998/99,0,0.0,65.0,363.0,303.0,156.0,61.0,0,948,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,1999/00,0,0.0,135.0,155.0,398.0,218.0,39.0,0.0,945,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2000/01,0,0.0,127.0,387.0,228.0,254.0,52.0,0,1048,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2001/02,0,0.0,255.0,327.0,183.0,133.0,1.0,0,899,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2002/03,0.0,37.0,217.0,375.0,165.0,221.0,66.0,0.0,1081,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2003/04,0.0,0.0,182.0,272.0,255.0,194.0,12.0,0,915,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2004/05,0,0.0,89.0,396.0,280.0,215.0,51.0,0,1031,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2005/06,0,0.0,446.0,313.0,222.0,198.0,70.0,0.0,1249,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2006/07,0,0.0,111.0,159.0,150.0,120.0,6.0,0.0,546,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2007/08,0,49.0,210.0,233.0,340.0,138.0,14.0,0.0,984,1,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2008/09,0.0,20.0,66.0,150.0,149.0,103.0,16.0,0.0,504,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2009/10,0.0,5.0,184.0,251.0,155.0,180.0,9.0,0.0,784,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2010/11,0.0,0.0,86.0,384.0,128.0,263.0,13.0,0.0,874,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2011/12,0.0,0.0,205.0,499.0,234.0,131.0,43.0,0.0,1112,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2012/13,0.0,6.0,273.0,272.0,249.0,65.0,2.0,0.0,867,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2013/14,0.0,13.0,173.0,217.0,177.0,162.0,19.0,0.0,761,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2014/15,0.0,0.0,374.0,279.0,190.0,134.0,4.0,0.0,981,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2015/16,0.0,2.0,64.0,175.0,213.0,66.0,0.0,0.0,520,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2016/17,0.0,0.0,139.0,285.0,199.0,98.0,3.0,0.0,724,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2017/18,0.0,36.0,252.0,228.0,118.0,21.0,2.0,0.0,657,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2018/19,0.0,0.0,137.0,309.0,126.0,90.0,47.0,0.0,709,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2019/20,0.0,2.0,39.0,80.0,181.0,59.0,0.0,0.0,361,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2020/21,0.0,0.0,206.0,241.0,175.0,38.0,0.0,0.0,660,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2021/22,0.0,0.0,214.0,264.0,265.0,47.0,1.0,0.0,791,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2022/23,0.0,0.0,92.0,267.0,170.0,30.0,0.0,0.0,559,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2023/24,0.0,0.0,73.0,198.0,133.0,187.0,0.0,0.0,591,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2024/25,0.0,3.0,223.0,243.0,232.0,112.0,0.0,0.0,813,0,Otari 550m; Tsugaike and Cortina bases 800-900m
hakuba-north,jma,小谷,48-1411,550.0,長野県,2025/26,0.0,4.0,128.0,315.0,100.0,29.0,0.0,0.0,576,0,Otari 550m; Tsugaike and Cortina bases 800-900m
